date,n_total,n_break,break_ratio_pct
2025-12-08,99,40,40.4040404040404
2025-12-09,99,20,20.2020202020202
2025-12-11,99,27,27.27272727272727
2025-12-12,99,46,46.464646464646464
2025-12-15,99,53,53.535353535353536
2025-12-16,100,45,45.0
2025-12-17,100,55,55.00000000000001
2025-12-18,100,69,69.0
2025-12-19,100,40,40.0
2025-12-22,100,37,37.0
2025-12-23,100,39,39.0
2025-12-24,100,22,22.0
2025-12-25,99,9,9.090909090909092
2025-12-26,99,15,15.151515151515152
2025-12-29,100,39,39.0
2025-12-30,100,59,59.0
2026-01-05,100,80,80.0
2026-01-06,100,54,54.0
2026-01-07,100,56,56.00000000000001
2026-01-08,100,44,44.0
2026-01-09,100,23,23.0
2026-01-12,100,33,33.0
2026-01-13,100,51,51.0
2026-01-14,100,37,37.0
2026-01-15,99,58,58.58585858585859
2026-01-16,100,50,50.0
2026-01-19,100,39,39.0
2026-01-20,100,67,67.0
2026-01-21,100,59,59.0
2026-01-22,100,57,56.99999999999999
2026-01-23,100,24,24.0
2026-01-26,98,24,24.489795918367346
2026-01-27,100,38,38.0
2026-01-28,100,33,33.0
2026-01-29,99,29,29.292929292929294
2026-01-30,100,39,39.0
2026-02-02,100,12,12.0
